Date,Open,Low,Close,Volume
2016-02-25,722.929993,713.22998,729.119995,1798600
2016-02-26,733.599976,721.940002,724.859985,2123700
2016-02-29,721.0,716.840027,717.219971,2253400
2016-03-01,721.299988,718.640015,742.169983,3005600
2016-03-02,742.869995,733.25,739.47998,1814600
2016-03-03,739.47998,729.630005,731.590027,2025400
2016-03-04,734.799988,725.619995,730.219971,2425800
2016-03-07,725.150024,705.140015,712.799988,3084500
2016-03-08,708.390015,704.0,713.530029,2626500
2016-03-09,715.169983,712.659973,725.409973,1977200
2016-03-10,727.789978,723.289978,732.169983,2228600
2016-03-11,739.950012,736.700012,744.869995,1769000
2016-03-14,744.969971,743.659973,750.23999,1641200
2016-03-15,746.02002,742.840027,750.570007,1491600
2016-03-16,749.049988,746.5,757.359985,1465300
2016-03-17,757.650024,757.359985,758.47998,2228200
2016-03-18,761.630005,751.820007,755.409973,2811100
2016-03-21,753.909973,751.27002,762.159973,1438700
2016-03-22,758.440002,757.880005,760.049988,1104800
2016-03-23,763.349976,756.030029,757.559998,1233900
2016-03-24,751.200012,750.5,754.840027,1555800
2016-03-28,756.169983,752.039978,753.280029,1083800
2016-03-29,753.679993,748.289978,765.890015,1987100
2016-03-30,768.210022,767.580017,768.340027,2019800
2016-03-31,768.340027,758.25,762.900024,1627700
2016-04-01,757.159973,755.200012,769.669983,1583700
2016-04-04,769.51001,761.789978,765.119995,1346200
2016-04-05,758.130005,755.599976,758.570007,1223900
2016-04-06,757.840027,756.299988,768.070007,1257100
2016-04-07,765.320007,757.5,760.119995,1274900
2016-04-08,765.869995,755.77002,759.469971,1171700
2016-04-11,765.450012,757.340027,757.539978,1588700
2016-04-12,758.429993,751.570007,764.320007,1366600
2016-04-13,770.309998,764.590027,771.909973,1771300
2016-04-14,775.359985,773.219971,775.390015,1348000
2016-04-15,775.5,774.929993,780.0,1585600
2016-04-18,780.190002,777.609985,787.679993,1669700
2016-04-19,790.5,770.27002,776.25,2197600
2016-04-20,779.159973,771.27002,774.919983,1713100
2016-04-21,777.309998,771.549988,780.0,3881400
2016-04-22,743.909973,730.369995,737.77002,7039900
2016-04-25,735.349976,735.099976,742.210022,2472100
2016-04-26,744.419983,720.320007,725.369995,2793200
2016-04-27,725.320007,709.080017,721.460022,3313100
2016-04-28,723.289978,703.200012,705.059998,3129500
2016-04-29,704.119995,703.780029,707.880005,2913900
2016-05-02,711.919983,706.359985,714.409973,1673800
2016-05-03,712.5,707.330017,708.440002,1931000
2016-05-04,706.77002,704.049988,711.369995,1610200
2016-05-05,715.0,709.450012,714.710022,1483400
2016-05-06,712.200012,711.950012,725.179993,1997600
2016-05-09,726.700012,723.5,729.130005,1903700
2016-05-10,734.960022,731.609985,739.380005,1627900
2016-05-11,740.52002,727.900024,730.549988,1491700
